nama_bisnis,kategori,rating,jumlah_ulasan,no_telepon,website,alamat
Apotek AGUNG FARMA,Apotek,3.5,43,62315673421,0," Jl. Pandegiling No.177i, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
Apotek K-24 Kalimantan Jember,Apotek,4.0,127,6287777176189,http://www.apotek-k24.com/," Jl. Kalimantan No.11A, Krajan Timur, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121"
Apotek Zora Farma,Apotek,3.9,105,62331335672,0," Jl. Mastrip No.69B, Krajan Timur, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68124"
"Apotek K-24 Talangsari, Jember",Apotek,4.8,338,6281326026430,https://www.k24klik.com/," JL. KH. Shiddiq Ruko Talangsari Square A1 No. 19, Kabupaten Jember, Jawa Timur 68131"
Apotek K-24 PB Sudirman Jember,Apotek,4.9,131,6281130736672,https://www.apotek-k24.com/location/detail/1050/K-24-PB-SUDIRMAN," Jl. PB Sudirman No.14, Kp. Using, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118"
Apotek Sentra Farma Jember,Apotek,0.0,0,6283170394482,0," Dekat, Jl. Letjend Suprapto No.51, Lingkungan Sumberdand, Kebonsari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68122"
KIMIA FARMA KEBONSARI,Apotek,4.8,146,6281259688288,http://kimiafarmaapotek.co.id/," Jl. Manunggal Kebonsari Mangunggal No.7, Kebonsari, Kec. Jambangan, Surabaya, Jawa Timur 60233"
Apotek PT. KAI Daop 9 Jember,Apotek,4.0,1,62331488422,0," RPP3+6J7, Jl. Wijaya Kusuma, Tegal Rejo, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118"
Mitra Pharmindo Sejati. PT,Apotek,5.0,1,62331482283,0," Jl. Kerta Negara VII No.105, Patimura, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Apotek Semesta Group 5,Apotek,2.9,28,62331488422,0," Jl. DR. Soebandi No.11, Krajan, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111"
HERVANA (LOVE OF ROWLAND),Apotek,5.0,1,,0," RPH3+JP6, Kp. Using, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68131"
Toko Obat Restu Ibu,Apotek,4.0,2,,0," Jl. Sultan Agung No.114, Tembaan, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
APOTIK JEMBER KLINIK,Apotek,1.0,4,,0," RPJ4+P6R, Kp. Using, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118"
Apotek Citra Medika,Toko Obat,4.9,65,6282131919190,0," Jl. Gajah Mada No.55, Kelurahan Jember Kidu, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Samsul arifin,Apotek,0.0,0,6282330604963,0," QMRW+QC4, Jl. Basuki Rahmat, Pakem, Kranjingan, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68131"
Apotek Medika Plus,Apotek,4.6,22,62331410388,0," Jl. Melati No.63, Ledok, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Apotek Prima Artha,Apotek,5.0,3,62331423632,0," Jl. Wolter Monginsidi No.62, Sumber Salak, Kranjingan, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68126"
Sumber Waras Toko,Apotek,0.0,0,62331486479,0," Jl. Sultan Agung Gg. V No.33, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
APOTEK WYN FARMA,Apotek,5.0,3,,0," Jl. Riau No.9a, Krajan Barat, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121"
APOTEK AA WIJAYA,Apotek,5.0,1,,0," Jl. Tawang Mangu No.62D, Lingkungan Panji, Tegalgede, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68126"
APOTEK GEBANG PRATAMA,Apotek,4.4,14,62331482853,0," Jl. Manggar No.48, Darwo Barat, Gebang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68117"
Apotek Novita Farma,Apotek,4.3,12,,0," Jl. MT. Haryono No.119, Karang Baru, Karangrejo, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68124"
Sinar Cemerlang Toko,Apotek,0.0,0,62331487794,0," Jl. Samanhudi No.124, Kelurahan Jember Kidu, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
APOTEK MEDIKAFARMA,Apotek,5.0,1,,0," Jl. Melati No.69, Ledok, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Apotek Alia,Apotek,5.0,2,6285288989767,0," RM6P+7J4, Jl. Imam Bonjol, Kedungpiring, Kaliwates, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
APOTEK PUTRI MAKMUR,Apotek,5.0,2,,0," Jl. Mawar No.58, Krajan, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118"
Apotek galaxy group 24 Talangsari,Apotek,5.0,5,,0," Jl. KH Shiddiq, Kulon Ps., Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur"
Apotik Wahid Hasyim,Apotek,4.0,1,,0," RMCW+6RW, Jl. KH Wachid Hasyim, Kebondalem, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Apotek Bima 1,Apotek,3.8,44,628818427692,0," Jl. PB Sudirman No.66, Kp. Using, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118"
Apotek Dewi Farma,Apotek,4.0,9,62331325244,0," Jl. Letjend Suprapto No.44, Lingkungan Sumberdand, Kebonsari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68122"
Apotik Johar,Apotek,4.8,36,62331487778,0," Jl. Diponegoro No.A.-5, Tembaan, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Istana Toko,Apotek,0.0,0,62331481833,0," Komplek Pusat Pertokoan Mutiara, Jl. Diponegoro, Tembaan, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68167"
Apotek Semesta,Apotek,3.3,17,62331412603,0," Jl. Trunojoyo No.165, Kulon Ps., Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
APOTEK BINTORO,Apotek,4.9,42,6281234517378,0," Jl. Srikoyo, RT.02/RW.01, Glisat, Bintoro, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111"
KSS FARMA,Apotek,5.0,1,,0," Jl. Letjen Sutoyo No.128, Krajan, Kranjingan, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68126"
Apotik Asifa jember,Apotek,3.8,4,,0," Jl. PB Sudirman No.57, Kp. Using, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118"
Toko Obat Pojok,Apotek,0.0,0,62331711463,0," JL. Gajah Mada, No. 109, Rambi, Kb. Kidul, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Jamu Tradisional Margo Mulyo Kios,Apotek,4.0,2,62331481828,0," RMFP+Q78, Jl. Jayanegara Lingkungan Patimura No.1, RT.002/RW.32, Kaliwates Kidul, Kaliwates, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Apotek Bima,Apotek,4.3,83,6282230281300,0," Jl. Gajah Mada No.19, Kelurahan Jember Kidu, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
APOTEK DITHA & PRAKTIK DOKTER BERSAMA,Apotek,4.9,30,6282244996719,0," Jl. Karimata No.44 A, Gumuk Kerang, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121"
Apotek Universitas dr. Soebandi (UDS),Apotek,0.0,0,6282143087320,0," Toko, Jl. Teratai No.06, Gebang Timur, Gebang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68112"
Apotek Gimhae,Apotek,5.0,7,6283847344311,0," QMPH+75Q, Limbung Sari, Ajung, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175"
Apotek UMC Prima,Apotek,5.0,85,6289617460220,0," Unej Medical Center, Jl. Kalimantan, Krajan Timur, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121"
Farmasi 99 Apotek,Apotek,4.7,47,62331425149,0," Jl. Gajah Mada No.175, Kaliwates Kidul, Kaliwates, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131"
Jember Apotik,Apotek,0.0,0,,0," JL. Jend Gatot Subroto 25, Kepatihan,Kaliwates, Jember, 68137, Sawahan Cantian, Kepatihan, Kaliwates, Jember Regency, East Java 68131"
Apotek Sejahtera,Apotek,4.2,10,62331482776,0," Jl. DR. Soebandi No.128, Krajan, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111"
Apotek Prima Farma,Apotek,2.7,15,62331484823,0," Jl. DR. Soebandi No.232, Krajan, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111"
